"BehaviorSpace results (NetLogo 6.1.1)"
"final model V1.nlogo"
"Full (fe)male"
"01/11/2021 12:50:44:729 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","254","0","267"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"percentage-female","0","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","100","100","100","100"
"number-workers","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"
"default","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"vision-range","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"percentage-trained-visitors","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"time-til-emergency","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30"
"debug?","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"workers-in-offices","85","85","85","85","85","85","85","85","85","85","85","85","85","85","85","85","85","85","85","85"
"number-visitors","450","450","450","450","450","450","450","450","450","450","450","450","450","450","450","450","450","450","450","450"
"alert-threshold","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"verbose?","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"[reporter]","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles"
"[final]","1","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","5"
"[min]","1","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","5"
"[max]","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
"[mean]","243.6685082872928","236.20980926430516","234.61035422343323","254.0611111111111","238.25761772853187","237.47138964577655","250.05205479452056","242.85164835164835","248.3306010928962","248.18105849582173","254.59840425531914","237.5342105263158","246.12781954887217","240.64547677261615","242.7969543147208","237.31761786600495","255.2853470437018","253.02072538860102","225.1152073732719","241.7425"
"[steps]","361","366","366","359","360","366","364","363","365","358","375","379","398","408","393","402","388","385","433","399"

"[all run data]","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","499","499","499","499","499","499","498","499","499","499","499","499","499","499","499","499","499","499","499"
,"499","498","498","499","498","498","499","498","499","499","498","499","498","499","499","499","499","499","498","499"
,"498","498","498","499","498","498","499","498","499","499","498","499","498","499","499","499","499","499","498","499"
,"498","498","498","498","498","497","499","498","499","499","498","499","498","499","499","499","498","499","498","499"
,"498","498","498","497","498","497","498","498","498","498","498","499","498","499","499","499","497","499","498","499"
,"497","498","498","497","498","497","498","498","498","498","498","498","498","499","498","499","497","498","498","498"
,"497","498","498","497","497","497","498","497","498","498","498","498","498","499","498","499","496","498","498","498"
,"496","498","497","497","496","496","498","497","498","498","498","498","498","499","498","499","496","498","498","498"
,"496","497","496","497","495","496","498","497","498","498","498","498","498","499","498","498","496","498","498","498"
,"496","497","496","497","495","496","498","497","497","498","498","497","497","499","497","498","496","498","497","497"
,"496","496","496","497","495","496","497","497","497","498","498","497","497","499","497","498","496","498","497","497"
,"496","495","496","496","495","496","497","496","496","498","498","497","497","499","497","498","496","497","497","496"
,"495","495","496","496","495","496","497","495","496","498","498","496","496","499","497","497","496","496","496","494"
,"495","494","496","496","495","495","496","495","496","498","498","495","495","499","497","497","496","496","496","493"
,"494","494","496","496","494","494","496","495","495","498","498","495","495","499","497","497","496","496","494","493"
,"494","494","495","496","494","494","496","495","495","498","498","495","495","499","497","497","496","496","493","493"
,"494","493","494","496","493","494","494","494","495","497","497","495","495","499","497","497","496","496","492","492"
,"494","493","493","496","493","494","494","494","494","497","497","495","495","499","497","496","496","495","492","491"
